variant,mode,target,magnitude,n_prompts,mean_keyword_fraction,sem_keyword_fraction,n_coherence_graded,mean_coherence,sem_coherence
ratio,sae_additive,feat_27749,16.0,30,0.1658248570514713,0.011379770690339193,30,1.0,0.0
ratio,sae_additive,feat_27749,20.0,30,0.1925645182057997,0.031148624064892966,30,1.0,0.0
ratio_strat,raw_dom,raw_dom,0.0,30,0.0013148448941070487,0.0005736357144952774,30,2.933333333333333,0.04632055558531008
ratio_strat,raw_dom,raw_dom,4.0,30,0.011440132058367216,0.0012143306325229303,30,2.933333333333333,0.04632055558531008
ratio_strat,raw_dom,raw_dom,8.0,30,0.04994110982576816,0.0075514172729764075,30,1.0,0.0
ratio_strat,raw_dom,raw_dom,12.0,30,0.058957954319147556,0.01757802880568278,30,1.0,0.0
ratio_strat,raw_dom,raw_dom,16.0,30,0.06638082315089615,0.03416024771975377,30,1.0,0.0
ratio_strat,raw_dom,raw_dom,20.0,30,0.0,0.0,30,0.8666666666666667,0.06312427686319991
ratio_strat,sae_additive,feat_27749,0.0,30,0.0013148448941070487,0.0005736357144952774,30,2.9,0.05570860145311556
ratio_strat,sae_additive,feat_27749,4.0,30,0.00268810634370234,0.0010679099589196305,30,2.9,0.05570860145311556
ratio_strat,sae_additive,feat_27749,8.0,30,0.016009956749362602,0.002508662431553483,30,2.1,0.1615300406208966
ratio_strat,sae_additive,feat_27749,12.0,30,0.08640838869900015,0.004523250500625544,30,1.0,0.0
ratio_strat,sae_additive,feat_27749,16.0,30,0.20502515241640443,0.015942927823799934,30,1.0,0.0
ratio_strat,sae_additive,feat_27749,20.0,30,0.10450336416205074,0.023724595697919293,30,1.0,0.0
topk3,sae_additive,sum_top3,0.0,30,0.0024152712454438862,0.0006641282430664564,30,2.9,0.05570860145311556
topk3,sae_additive,sum_top3,4.0,30,0.007001282466154475,0.001117582274193115,30,2.966666666666667,0.03333333333333333
topk3,sae_additive,sum_top3,8.0,30,0.03913944190141057,0.0016986264136090762,30,1.1333333333333333,0.06312427686319991
topk3,sae_additive,sum_top3,12.0,30,0.09362939209247016,0.005980812824310495,30,1.0,0.0
topk3,sae_additive,sum_top3,16.0,30,0.06857839730414948,0.025137340554847645,30,1.0,0.0
topk3,sae_additive,sum_top3,20.0,30,0.0,0.0,30,1.0,0.0
topk5,sae_additive,sum_top5,0.0,30,0.0024152712454438862,0.0006641282430664564,30,2.9,0.05570860145311556
topk5,sae_additive,sum_top5,4.0,30,0.006795702367955282,0.0013049029005831724,30,2.8666666666666667,0.06312427686319991
topk5,sae_additive,sum_top5,8.0,30,0.025029645463996376,0.0017019783266892532,30,1.8666666666666667,0.1642351365470506
topk5,sae_additive,sum_top5,12.0,30,0.05728071111266296,0.0029200277956081735,30,1.0,0.0
topk5,sae_additive,sum_top5,16.0,30,0.054414726204346175,0.0019461492985605277,30,1.0,0.0
topk5,sae_additive,sum_top5,20.0,30,0.16408886572253023,0.01840692273473478,30,1.0,0.0
