window,horizon,target,model,alpha,validation_r2,n_train,n_validation,n_test,r2,rmse,breach_auprc,breach_prevalence
4,4,future_min,raw_history,10000.0,0.9152517773628036,1920,640,640,0.9060506820678711,2.5285987854003906,nan,1.0
4,4,future_delta,raw_history,10000.0,0.2137125192452255,1920,640,640,0.2497413158416748,3.3675696849823,nan,nan
4,4,future_min,sae,1000.0,0.85518004502646,1920,640,640,0.844089925289154,3.2573933601379395,nan,1.0
4,4,future_delta,sae,1000.0,0.15638029659127395,1920,640,640,0.09968560934066772,3.6889960765838623,nan,nan
4,4,future_min,tsae,1000.0,0.8635483033018218,1920,640,640,0.8639289140701294,3.0430986881256104,nan,1.0
4,4,future_delta,tsae,1000.0,0.15552652831457436,1920,640,640,0.1309853196144104,3.6243040561676025,nan,nan
4,4,future_min,txc,1000.0,0.844561037906126,1920,640,640,0.8292919397354126,3.408474922180176,nan,1.0
4,4,future_delta,txc,10000.0,0.08300758854829027,1920,640,640,0.05783313512802124,3.773766279220581,nan,nan
4,4,future_min,sae_plus_txc,1000.0,0.8531545336854034,1920,640,640,0.8396601676940918,3.303344488143921,nan,1.0
4,4,future_delta,sae_plus_txc,10000.0,0.1377013025581274,1920,640,640,0.1142275333404541,3.6590821743011475,nan,nan
4,4,future_min,tsae_plus_txc,1000.0,0.8584979581967882,1920,640,640,0.8504288196563721,3.190487861633301,nan,1.0
4,4,future_delta,tsae_plus_txc,10000.0,0.12694194778683665,1920,640,640,0.1118122935295105,3.664067506790161,nan,nan
8,1,future_min,axis_only,0.0001,0.8349255697723736,1680,560,560,0.8117536306381226,3.6178410053253174,nan,1.0
8,1,future_delta,axis_only,100.0,0.021413994309125606,1680,560,560,0.02400892972946167,3.617999792098999,nan,nan
8,1,future_min,axis_position,0.0001,0.8573222953364845,1680,560,560,0.8379271626472473,3.3569223880767822,nan,1.0
8,1,future_delta,axis_position,10.0,0.15471327037028104,1680,560,560,0.160753071308136,3.3549845218658447,nan,nan
8,1,future_min,user_axis,100.0,0.8185942500306749,1680,560,560,0.7928677201271057,3.794985294342041,nan,1.0
8,1,future_delta,user_axis,1000.0,0.11202608931159008,1680,560,560,0.05730795860290527,3.5557444095611572,nan,nan
8,1,future_min,raw_local,10000.0,0.8520649203640869,1680,560,560,0.8398513197898865,3.3369357585906982,nan,1.0
8,1,future_delta,raw_local,10000.0,0.25432814439823104,1680,560,560,0.2729586362838745,3.1226634979248047,nan,nan
8,1,future_min,raw_history,10000.0,0.8579712009288731,1680,560,560,0.8583102226257324,3.1387410163879395,nan,1.0
8,1,future_delta,raw_history,10000.0,0.19730988826526186,1680,560,560,0.24877434968948364,3.1741747856140137,nan,nan
8,1,future_min,sae,1000.0,0.8058110134888278,1680,560,560,0.7815927267074585,3.8969039916992188,nan,1.0
